,open,high,low,close,volume
20181228,38250,38900,38200,38700,9900267
20181227,38700,38800,38100,38250,10510643
20181226,38400,38750,38300,38350,12707675
20181224,38500,39050,38300,38800,9729530
20181221,38200,38650,38100,38650,14947080
20181220,38600,39100,38500,38650,11937617
20181219,38900,39350,38850,39100,9942037
20181218,38300,39200,38300,38900,11042101
20181217,38650,39600,38650,39150,11532968
20181214,40200,40200,38700,38950,19671783
20181213,40650,40750,40000,40000,26254646
20181212,40250,40700,40150,40450,12024279
20181211,40600,40700,40200,40250,10638766
20181210,40450,40650,40000,40200,14892263
20181207,40900,41400,40850,40950,11433083
20181206,40600,41100,40450,40500,14251826
20181205,40900,41750,40850,41450,12631983
20181204,42650,42900,41900,42150,14347746
20181203,42750,43400,42400,43250,12110702
20181130,43450,44000,41750,41850,19775519
20181129,43850,43850,42900,43150,8473511
20181128,42800,43200,42750,43150,6943099
20181127,42900,43100,42500,43050,8367091
20181126,42150,42800,42100,42600,6613009
20181123,42450,42600,41900,42400,5192638
20181122,42000,42650,42000,42450,5970796
20181121,41800,42300,41800,42100,10769589
20181120,42450,43000,42100,42800,9420664
20181119,44050,44250,43450,43650,7538720
20181116,44600,44750,43700,44000,7777124
20181115,44050,44350,43500,44250,5864067
20181114,44500,44500,43800,44100,6783344
20181113,43900,44500,43400,44500,9311126
20181112,43850,45250,43700,45200,8552566
20181109,44450,44850,43900,44300,7318500
20181108,44900,45050,44050,44050,12617397
20181107,43600,44500,43400,44000,11553998
20181106,43750,43800,42950,43750,7713625
20181105,43750,43800,42900,43800,9426777
20181102,43050,44250,42800,44150,16517112
20181101,42450,42950,42150,42150,13423132
20181031,42900,43350,41700,42400,17621480
20181030,41400,43000,41000,42350,14205190
20181029,40850,41950,40550,41400,14460521
20181026,41100,41300,40400,41000,14413864
20181025,40600,41550,40550,41000,19338170
20181024,43050,43100,42250,42550,13522825
20181023,43300,43450,42550,43050,9531231
20181022,43450,43950,43200,43550,8357648
20181019,43900,44150,43450,43900,7842520
20181018,43950,44450,43700,44050,8347725
20181017,44150,44500,44000,44150,8306193
20181016,43700,44150,43350,43600,6825677
20181015,44050,44050,43350,43800,7434522
20181012,43200,44650,43200,44000,12640906
20181011,44000,44650,43100,43100,19324537
20181010,45250,45500,44500,45300,10341349
20181008,44200,45200,44200,44950,6759464
20181005,44800,45500,44550,44700,10544165
20181004,45150,45600,44700,44700,11865327
20181002,46450,46700,45700,45700,6607188
20181001,46450,46800,45800,46350,6354983
20180928,47250,47250,46300,46450,11270515
20180927,46950,47500,46450,47500,15804586
20180921,46550,47550,46550,47400,14476906
20180920,46850,47600,46400,47250,13536966
20180919,46000,46200,45700,46150,9367454
20180918,44950,45900,44700,45500,9987090
20180917,45550,45800,44900,45150,8123384
20180914,45000,45850,44900,45850,12446344
20180913,44550,44750,44000,44050,18277942
20180912,44900,45100,44500,44550,12995269
20180911,45550,45900,45050,45050,9865790
20180910,45450,45550,45000,45500,9979838
20180907,44500,45200,44400,44900,18285508
20180906,46200,46400,45800,46100,9040553
20180905,47300,47450,46400,46600,9139998
20180904,47550,47800,47200,47650,6791255
20180903,48200,48300,47300,47450,8595084
20180831,47100,48450,47000,48450,13577454
20180830,46950,47950,46700,47650,12193231
20180829,46750,46800,46400,46800,5572374
20180828,46800,46950,46300,46550,7365976
20180827,46100,46550,46000,46300,5263782
20180824,45900,46400,45550,46150,6582535
20180823,46150,46200,45700,46200,6730918
20180822,45150,46200,44900,46100,11641656
20180821,43700,44900,43700,44800,9520270
20180820,43500,44200,43500,43850,7289124
20180817,44050,44400,44050,44100,6808747
20180816,43800,44650,43700,44250,10088229
20180814,44850,45400,44850,45150,6409259
20180813,44950,45100,44650,45050,9803831
20180810,46150,46400,44850,45400,16670643
20180809,47000,47050,46450,46900,12010886
20180808,47000,47000,46550,46800,6429338
20180807,46300,46750,45900,46700,9058174
20180806,46150,46150,45750,45800,6771979
20180803,45850,45900,45450,45750,8274944
20180802,46550,46800,45500,45550,8560924
20180801,46050,46850,46050,46550,7484499
20180731,46200,46450,46000,46250,8033607
20180730,46550,46800,46350,46500,5723035
20180727,46450,47000,46450,46900,4762460
20180726,46100,47000,46000,46900,7374946
20180725,46250,46550,45900,46150,7222471
20180724,46350,46600,45950,46150,8261363
20180723,47100,47200,46150,46500,10823782
20180720,47000,47600,46700,47450,10474547
20180719,47050,47200,46600,46900,9880128
20180718,46700,47200,46450,46550,10952645
20180717,46150,46200,45600,45850,8892953
20180716,46800,46800,46000,46050,7678719
20180713,45800,46500,45750,46500,11543389
20180712,45900,46250,45450,45500,11828104
20180711,46400,46450,45400,46000,11224077
20180710,46200,46550,46100,46300,10528665
20180709,45500,46100,45200,45600,11602464
20180706,45500,45850,44650,44900,17843706
20180705,46100,46550,45600,45950,7039773
20180704,46700,47050,46050,46250,8776763
20180703,45750,46450,45750,46150,10959655
20180702,46500,47150,45500,45550,13112253
20180629,46250,47150,46200,46650,14099635
20180628,46850,47150,46600,46800,12784800
20180627,47450,48500,47000,47950,15274752
20180626,45900,47300,45900,47000,11223166
20180625,47050,47050,46150,46650,10587711
20180622,47000,47250,46200,47250,10298006
20180621,47900,47900,47050,47050,10015541
20180620,47450,47600,46850,47000,12959316
20180619,47200,47350,46500,47000,15217971
20180618,47600,47650,46200,46600,16661870
20180615,48500,48700,47650,47650,17080892
20180614,49000,49000,48200,48200,20971729
20180612,49700,49800,49250,49400,12110569
20180611,49750,50300,49350,49900,10571312
20180608,50200,50400,49600,49650,16951706
20180607,51800,51800,50500,50600,13590016
20180605,51100,51400,50400,51300,9144100
20180604,50800,51200,50700,51100,9767171
20180601,50500,51700,49950,51300,13038499
20180531,50400,50800,49850,50700,63491109
20180530,51300,51500,49100,49500,20498098
20180529,52200,52500,51300,51300,8480437
20180528,52500,53000,52000,52300,9787820
20180525,51000,52800,50800,52700,15207266
20180524,52000,52000,51100,51400,8289275
20180523,50600,52000,50400,51800,17095490
20180521,49650,50200,49100,50000,9020998
20180518,49900,49900,49350,49500,6706570
20180517,50300,50500,49400,49400,10365440
20180516,49200,50200,49150,49850,15918683
20180515,50200,50400,49100,49200,18709146
20180514,51000,51100,49900,50100,14909272
20180511,52000,52200,51200,51300,10314997
20180510,51700,51700,50600,51600,13905263
20180509,52600,52800,50900,50900,16128305
20180508,52600,53200,51900,52600,23104720
20180504,53000,53900,51800,51900,39565391
20180503,53000,53000,53000,53000,0
20180502,53000,53000,53000,53000,0
20180430,53000,53000,53000,53000,0
20180427,53380,53640,52440,53000,30310800
20180426,50420,52160,50400,52140,18046550
20180425,49220,50500,49220,50400,16614600
20180424,51840,51860,50080,50460,15770300
20180423,51000,52080,51000,51900,11619000
20180420,51800,52260,51420,51620,11761000
20180419,52000,52980,51540,52780,17190550
20180418,51000,51360,50580,51360,13462600
20180417,50240,50540,49820,49980,7772000
20180416,50320,50600,49860,50340,7877450
20180413,49600,50180,49400,49800,10278300
20180412,49440,49440,48880,49000,12466250
20180411,49900,49900,48600,48860,10051100
20180410,48540,49220,48040,48880,10984350
20180409,48260,49440,48200,49200,9950400
20180406,48000,48580,47400,48400,12532700
